Country,Count
United States,5
India,4
Bangladesh,3
Sweden,2
United Kingdom,2
China,8
France,1
Canada,2
Japan,1
Netherlands,1
Pakistan,1
Turkey,2
Australia,1
South Korea,1
Saudi Arabia,1
Germany,1
